Avenal,California 
Cutler Bay,Florida 
Canyon Lake,Texas 
Orinda,California 
Los Angeles,California 
Lomita,California 
Bensonhurst,New York 
Palm Coast,Florida 
Centereach,New York 
Canton,Ohio 
Knoxville,Tennessee 
Aurora,Ohio 
Gloucester,Massachusetts 
Cleburne,Texas 
Inglewood-Finn Hill,Washington 
Iona,Florida 
Topeka,Kansas 
Roy,Utah 
Marlborough,Massachusetts 
Manhattan,New York 
New Berlin,Wisconsin 
Columbus,Georgia 
Thornton,Colorado 
Sunrise,Florida 
City of Milford (balance),Connecticut 
Oak Grove,Oregon 
White Oak,Ohio 
Tonawanda,New York 
Cabot,Arkansas 
Goodyear,Arizona 
Evansville,Indiana 
Deerfield,Illinois 
Hereford,Texas 
Upper Alton,Illinois 
Sumter,South Carolina 
Margate,Florida 
Escondido,California 
Soledad,California 
Harrison,New York 
Florence,Arizona 
Somerset,Massachusetts 
Boone,North Carolina 
San Lorenzo,California 
Hillside,New Jersey 
Aldine,Texas 
Fresno,California 
Nutley,New Jersey 
Huntington Beach,California 
Marion,Ohio 
Ukiah,California 
Hays,Kansas 
Brighton,New York 
Cutler,Florida 
Holyoke,Massachusetts 
Beverly Cove,Massachusetts 
High Point,North Carolina 
Oregon,Ohio 
Hilton Head Island,South Carolina 
Bowling Green,Kentucky 
Ronkonkoma,New York 
New Rochelle,New York 
Dyersburg,Tennessee 
Clinton,Iowa 
Estero,Florida 
Sayville,New York 
La Crosse,Wisconsin 
Covington,Washington 
Maryland City,Maryland 
Wayne,Pennsylvania 
Yorkville,Illinois 
Bridgeview,Illinois 
Charleston,Illinois 
Cheyenne,Wyoming 
East Point,Georgia 
Spring Valley,New York 
Glen Ellyn,Illinois 
Millbrae,California 
Immokalee,Florida 
New Bedford,Massachusetts 
Oswego,Illinois 
Muscatine,Iowa 
Westford,Massachusetts 
Lake Shore,Maryland 
Steubenville,Ohio 
Brentwood,New York 
Sarasota,Florida 
Berea,Ohio 
New Lenox,Illinois 
Mount Prospect,Illinois 
Rockville,Maryland 
Brooklyn,New York 
Lewiston,Maine 
Desert Hot Springs,California 
Birmingham,Alabama 
Oak Park,Michigan 
Cambridge,Massachusetts 
Huntley,Illinois 
Huntington Station,New York 
Westmont,California 
Mercer Island,Washington 
Bismarck,North Dakota 
Richfield,Minnesota 
Brunswick,Ohio 
Tukwila,Washington 
Springville,Utah 
Westchase,Florida 
Gilroy,California 
Copiague,New York 
Troy,New York 
Windsor,California 
Missoula,Montana 
Louisville,Colorado 
Oxford,Alabama 
Melrose Park,Illinois 
Long Island City,New York 
Reisterstown,Maryland 
Mead Valley,California 
Minnetonka Mills,Minnesota 
Bellwood,Illinois 
Baldwin,Pennsylvania 
Sheridan,Wyoming 
Owosso,Michigan 
Griffin,Georgia 
Stockton,California 
North Salt Lake,Utah 
Lexington,Kentucky 
Greenville,South Carolina 
Smithtown,New York 
Bowie,Maryland 
Ponca City,Oklahoma 
Michigan City,Indiana 
Sanger,California 
Smyrna,Georgia 
Boca Del Mar,Florida 
Parsippany,New Jersey 
Bowling Green,Ohio 
Moore,Oklahoma 
East Lake-Orient Park,Florida 
Orem,Utah 
East Saint Louis,Illinois 
Fruit Cove,Florida 
Painesville,Ohio 
Elk Grove Village,Illinois 
Georgetown,Texas 
Bellevue,Nebraska 
Red Wing,Minnesota 
Central Islip,New York 
Thousand Oaks,California 
Santa Barbara,California 
Homewood,Alabama 
Franklin,Wisconsin 
Windsor,Connecticut 
Essex,Maryland 
West Palm Beach,Florida 
Kendale Lakes,Florida 
West Memphis,Arkansas 
Nogales,Arizona 
Walker,Michigan 
Natchez,Mississippi 
Ocean Springs,Mississippi 
Glassboro,New Jersey 
Bel Air South,Maryland 
Lakeside,Florida 
Kiryas Joel,New York 
Freeport,New York 
Akron,Ohio 
Derby,Kansas 
Flowing Wells,Arizona 
Coachella,California 
Hagerstown,Maryland 
Saratoga,California 
Wenatchee,Washington 
Gastonia,North Carolina 
North La Crosse,Wisconsin 
Peoria,Arizona 
Fishers,Indiana 
Rocky River,Ohio 
Redland,Maryland 
Chambersburg,Pennsylvania 
Mitchell,South Dakota 
Watertown,Massachusetts 
Wauwatosa,Wisconsin 
Rome,Georgia 
Pasadena,California 
Wade Hampton,South Carolina 
South Valley,New Mexico 
Murray,Kentucky 
Huntington Park,California 
East Brunswick,New Jersey 
Meridian,Idaho 
Machesney Park,Illinois 
Hoffman Estates,Illinois 
Redan,Georgia 
Rexburg,Idaho 
Kenmore,New York 
Forest Park,Georgia 
Sunnyside,Washington 
Marysville,Washington 
West Mifflin,Pennsylvania 
Parma Heights,Ohio 
Saco,Maine 
Brockton,Massachusetts 
Atlanta,Georgia 
Deerfield Beach,Florida 
Nicholasville,Kentucky 
Minneapolis,Minnesota 
Rochester Hills,Michigan 
Aspen Hill,Maryland 
Brunswick,Georgia 
Lynbrook,New York 
Holland,Michigan 
Sugar Hill,Georgia 
Concord,Massachusetts 
Lombard,Illinois 
Norland,Florida 
Pearl River,New York 
Brooklyn Park,Minnesota 
Phoenix,Arizona 
Salem,Massachusetts 
Miami Beach,Florida 
Toms River,New Jersey 
Danvers,Massachusetts 
Columbia Heights,Minnesota 
Corinth,Texas 
Richmond,California 
Alameda,California 
Cerritos,California 
Santa Clara,California 
San Marcos,California 
Sun City Center,Florida 
Augusta,Georgia 
Rossville,Maryland 
Conway,South Carolina 
Frederickson,Washington 
Newark,Ohio 
Durant,Oklahoma 
McMinnville,Oregon 
Westchester,Illinois 
Warren,Ohio 
Columbine,Colorado 
Greenville,North Carolina 
Prunedale,California 
Sunset,Florida 
Klamath Falls,Oregon 
Battle Ground,Washington 
Apple Valley,California 
Columbia,South Carolina 
Walnut Park,California 
Mishawaka,Indiana 
Glendale,Arizona 
Tualatin,Oregon 
Avon,Ohio 
Boyle Heights,California 
South Yuba City,California 
Columbia,Missouri 
Crown Point,Indiana 
Webster Groves,Missouri 
Meridian,Mississippi 
Weston,Florida 
Passaic,New Jersey 
Westmont,Illinois 
Fortuna Foothills,Arizona 
Mattoon,Illinois 
Lockport,Illinois 
North Bel Air,Maryland 
Waterville,Maine 
Sacramento,California 
Suwanee,Georgia 
Madison,Alabama 
Land O' Lakes,Florida 
Mentor,Ohio 
Laconia,New Hampshire 
South Boston,Massachusetts 
Rock Island,Illinois 
Danville,California 
Loma Linda,California 
Susanville,California 
North Tonawanda,New York 
Somerville,Massachusetts 
Annapolis,Maryland 
Cypress,California 
Burlington,North Carolina 
Griffith,Indiana 
Terrytown,Louisiana 
Moreno Valley,California 
Braintree,Massachusetts 
Ridgewood,New Jersey 
Central Point,Oregon 
Hattiesburg,Mississippi 
Yorba Linda,California 
Naperville,Illinois 
Rancho Cucamonga,California 
Oakdale,Minnesota 
Union City,Georgia 
Lehi,Utah 
Elizabeth City,North Carolina 
Franklin,Tennessee 
Miramar,Florida 
El Dorado Hills,California 
Quincy,Massachusetts 
Danville,Kentucky 
Foster City,California 
Opelousas,Louisiana 
Bloomington,Indiana 
Jeffersontown,Kentucky 
Huntsville,Alabama 
Winter Park,Florida 
Port Orange,Florida 
Safety Harbor,Florida 
Westlake,Ohio 
Gary,Indiana 
Henderson,Nevada 
Roseburg,Oregon 
Henderson,North Carolina 
Dothan,Alabama 
North Kingstown,Rhode Island 
St. Marys,Georgia 
Pinole,California 
